Sp_ID RA DEC Gaia_ID
Sp0000-1245 0.1193751 -12.7542112 2421137424841635840
Sp0001+1535 0.3007107 15.5932068 2772182900286956160
Sp0002+0115 0.5259069000000001 1.2600395 2738415592529108096
Sp0004+5843 1.0314046 58.716818 423130041883475968
Sp0004-1709 1.2398171999999998 -17.1602658 2414623952318068224
Sp0004-2058 1.1730139 -20.9749664 2340736324254735488
Sp0004-4044 1.146191 -40.7351291 4996141155411984128
Sp0005+0217 1.2576252 2.2866248 2739077223651402240
Sp0005-2157 1.4521621999999998 -21.9554899 2340605825968413184
Sp0006+0439 1.6092862 4.6532415 2741783362285662592
Sp0006-0732 1.6799580000000005 -7.538062299999999 2441630500517079808
Sp0007-2458 1.7829665 -24.9678772 2336406413104712320
Sp0008+2911 2.2470473 29.1977456 2860297040582153600
Sp0008+4918 2.2306785 49.3156445 393621524910343296
Sp0008+5453 2.1438542000000003 54.89522 420235478744248192
Sp0010-0746 2.622372 -7.7802664 2429635550212644608
Sp0010-2031 2.5004679 -20.5200619 2364740071837660672
Sp0011+5908 2.8788798 59.14441239999999 423027104407576576
Sp0011-3334 2.7603567000000004 -33.579604 2310240437249834496
Sp0012+5159 3.1032685 51.9889449 395797630219580032
Sp0013+4012 3.2602292 40.2041241 383030719672118528
Sp0013-0457 3.444125 -4.9603333 2444078253918146944
Sp0013-2235 3.4908153 -22.5889735 2361294885296927488
Sp0014-3245 3.5242695 -32.7666224 2316363175123938560
Sp0014-4844 3.7343152 -48.7380285 4977142934516994176
Sp0015+3516 3.936610500000001 35.2673998 2876239130257160960
Sp0015+4239 3.814316 42.657951 383847961754087040
Sp0017-4054 4.3119328 -40.9113924 4995537965909399552
Sp0018-6356 4.6938349000000015 -63.93661529999999 4900453540369793408
Sp0019+0030 4.7985453 0.5049021 2545563520758981760
Sp0019+0450 4.8645149000000005 4.841645400000001 2741250786341356288
Sp0019+5213 4.9418277 52.22155120000001 419121948343397888
Sp0019-3724 4.913929799999999 -37.41090629999999 4998742462483975424
Sp0020+3305 5.123431 33.085118900000005 2863419584886542080
Sp0020-2155 5.1562344000000015 -21.9249665 2361213216492876160
Sp0021-4244 5.2750567 -42.7454158 4992141475707360640
Sp0021-6351 5.3655833 -63.85227220000001 4900780511935295872
Sp0022+1203 5.5575470000000005 12.0513247 2755265775727402112
Sp0024-0158 6.102643 -1.9722136 2541756977144595712
Sp0024-2708 6.184125 -27.1400667 2322561156528583040
Sp0025+5422 6.3157657999999985 54.3819181 419624356438705152
Sp0026+0632 6.668572599999999 6.5377759000000015 2747837646968986624
Sp0026-5428 6.735800200000001 -54.4813334 4923179694098110848
Sp0027+2219 6.9830417 22.3257889 2799992744809482112
Sp0027-5401 6.8489207 -54.0294586 4923251780829182080
Sp0028+2249 7.0877328 22.8177839 2800081221135505536
Sp0029+1255 7.2882099 12.9193704 2755053363824509056
Sp0030+2244 7.6033929 22.7469251 2800023565494388480
Sp0031+0649 7.9782107 6.8295516 2747910730136768768
Sp0031-3840 7.8309854 -38.6766878 4997505546262260096
Sp0032+0219 8.0211733 2.3171783 2547532539925750784
Sp0032+2927 8.075909 29.466498699999995 2858055063359237248
Sp0033-1521 8.3495151 -15.3585741 2373841073178592512
Sp0034+4050 8.657895300000002 40.83392429999999 381017479521263360
Sp0035+2848 8.943866900000002 28.8152914 2857774451671081856
Sp0036+1821 9.067341 18.3528589 2794735086363871360
Sp0036-2031 9.1867419 -20.5254473 2362391480640927872
Sp0037+3910 9.4571743 39.1730094 368663366870354048
Sp0041+1341 10.477258 13.6932 2776324485710775296
Sp0041-5621 10.397458300000002 -56.35354720000001 4920330653311504256
Sp0042-0712 10.6487296 -7.215903999999999 2523339813782147456
Sp0043+2426 10.8987515 24.43674110000001 2806483501252043776
Sp0044+5610 11.060967 56.1789723 424486328134461440
Sp0045-3604 11.4826904 -36.0823908 5001224335106301824
Sp0046+0252 11.56462 2.8668762 2550766886522609920
Sp0046-3442 11.684504400000002 -34.7019789 5005816887800833792
Sp0049-0635 12.361541699999998 -6.5963083 2523085654797153280
Sp0050-1538 12.6016888 -15.6386576 2372272516761781888
Sp0050-2008 12.5405662 -20.1452616 2356590216775021696
Sp0051+1844 12.8429325 18.7364925 2788907296779605376
Sp0051-2251 12.8441409 -22.8588718 2349207644734247808
Sp0051-2254 12.896840699999998 -22.9085875 2349206343359507584
Sp0052+6724 13.1083732 67.4023238 526331891194068736
Sp0052-2705 13.2279384 -27.0998775 2342686956666281728
Sp0052-6201 13.063867 -62.03176970000001 4902366110781708288
Sp0053+4942 13.4263471 49.7142408 402884704215426560
Sp0053+5001 13.475417000000002 50.0304033 402895974206479744
Sp0053-3631 13.3291346 -36.5194963 5001668709601989248
Sp0055-3052 13.7694994 -30.8669404 5031016873971268352
Sp0055-5450 13.7521858 -54.8406109 4920890648327138560
Sp0058+4835 14.7079839 48.5909506 402217850409939456
Sp0058-0651 14.6772881 -6.8566744 2476262466795918080
Sp0059+5726 14.971829199999998 57.4344065 424127406310491904
